Site;agela_phoen;aixs_spons;anas_ameri;anas_platy;archi_colub;ardea_herod;bomby_cedro;bonas_umbel;botau_lenti;brant_canad;buteo_platy;carde_canad;carde_pusil;catha_fusce;catha_gutta;catha_ustul;certh_ameri;coccy_eryth;colap_aurat;conto_viren;corvu_brach;corvu_corax;cyano_crist;dryob_pobes;dryoc_pilea;empid_alnor;empid_minim;empid_trail;gavia_immer;geoth_phila;geoth_trich;grus_canad;haemo_purpu;junco_hyema;larus_delaw;leiot_rufic;leuco_villo;megac_alcyo;melos_georg;melos_melod;mniot_varia;myiar_crini;parke_noveb;pheuc_ludov;piran_oliva;poeci_atric;quisc_quisc;sayor_phoeb;seiur_auroc;setop_ameri;setop_caeru;setop_coron;setop_fusca;setop_magno;setop_pensy;setop_petec;setop_pinus;setop_rutic;setop_stria;setop_viren;sitta_canad;sitta_carol;sphyr_variu;spinu_trist;spize_passe;strix_varia;trogl_hiema;turdu_migra;tyran_tyran;vireo_oliva;vireo_solit;zonot_albic
2;0.024390244;0;0.024390244;0.024390244;0;0;0;0;0;0;0;0.048780488;0;0.097560976;0;0;0;0;0.024390244;0;0;0.024390244;0;0;0;0;0.097560976;0;0;0;0.073170732;0;0;0;0;0.024390244;0.024390244;0;0;0.048780488;0.024390244;0;0.024390244;0;0;0;0.024390244;0;0.048780488;0;0;0.024390244;0.024390244;0;0.024390244;0.097560976;0;0;0;0;0;0;0;0.024390244;0;0;0;0.048780488;0;0.048780488;0.024390244;0.024390244
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018867925;0.018867925;0;0;0;0;0;0.018867925;0;0.018867925;0;0;0;0.094339623;0;0;0;0.075471698;0;0;0;0;0;0.018867925;0;0;0.037735849;0.018867925;0.037735849;0;0;0;0.037735849;0.037735849;0;0.094339623;0;0.056603774;0;0.094339623;0;0;0;0;0.018867925;0;0.037735849;0.018867925;0;0.018867925;0.018867925;0;0;0.056603774;0.018867925;0;0.094339623;0;0.037735849
5;0.018518519;0;0;0;0;0;0;0.018518519;0;0;0;0;0;0.037037037;0;0;0;0;0;0;0;0.037037037;0.037037037;0;0;0;0;0;0.018518519;0;0.037037037;0;0;0;0;0.037037037;0;0;0;0.055555556;0.037037037;0.037037037;0.018518519;0.018518519;0;0.018518519;0;0;0.092592593;0;0.037037037;0.018518519;0.055555556;0;0;0.055555556;0;0;0;0.074074074;0;0;0.018518519;0;0;0.018518519;0.055555556;0.037037037;0;0.092592593;0;0.018518519
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023809524;0;0;0;0;0;0.023809524;0.023809524;0.023809524;0;0;0;0;0;0;0;0.023809524;0;0;0;0;0;0;0;0.047619048;0.095238095;0.071428571;0.071428571;0.095238095;0;0;0.023809524;0;0.047619048;0.047619048;0.023809524;0;0;0.071428571;0;0;0;0;0;0;0;0.023809524;0;0.023809524;0;0;0;0.071428571;0.047619048;0;0.047619048;0.047619048;0.023809524
8;0.078125;0;0;0;0;0;0;0;0;0.015625;0;0;0;0;0;0;0.015625;0;0;0.078125;0;0.03125;0.03125;0;0;0;0.078125;0;0;0;0.046875;0;0;0;0;0;0.015625;0;0.078125;0;0.0625;0.046875;0.078125;0.0625;0;0;0;0;0.03125;0.015625;0;0.015625;0.03125;0;0;0.046875;0;0.015625;0;0.03125;0;0;0;0;0;0;0;0.015625;0;0.0625;0;0.015625
10;0.03125;0;0;0;0;0;0;0;0;0;0;0;0;0.046875;0;0;0.03125;0;0.015625;0;0.03125;0.015625;0.015625;0.015625;0;0;0;0;0.015625;0;0.0625;0;0;0;0;0;0.015625;0;0.046875;0;0.046875;0.0625;0.0625;0;0;0.015625;0.015625;0;0.015625;0.046875;0;0.015625;0.0625;0;0.015625;0;0;0;0;0;0.015625;0;0.046875;0.015625;0;0.015625;0.078125;0.0625;0;0.046875;0;0.015625
12;0.080645161;0;0;0;0;0;0;0;0;0;0;0;0;0.016129032;0;0;0;0;0;0;0.016129032;0.016129032;0;0;0;0.080645161;0.080645161;0.016129032;0;0;0.016129032;0;0.032258065;0;0;0.032258065;0;0;0.064516129;0;0.080645161;0.032258065;0;0.032258065;0;0;0.016129032;0;0.064516129;0;0;0;0.032258065;0;0;0.080645161;0;0.032258065;0;0.016129032;0;0;0.016129032;0;0;0;0;0.032258065;0;0.080645161;0.016129032;0.016129032
13;0;0;0;0;0;0;0;0.022222222;0;0;0;0;0;0.066666667;0.022222222;0;0;0;0;0;0;0;0.022222222;0;0.022222222;0;0;0;0;0;0.044444444;0;0;0;0;0;0;0;0;0;0.111111111;0.022222222;0.066666667;0.022222222;0;0.022222222;0.022222222;0;0.088888889;0.022222222;0;0;0.022222222;0;0;0;0;0;0;0.022222222;0.111111111;0;0.066666667;0.022222222;0;0;0;0.022222222;0;0.088888889;0.022222222;0.044444444
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.078431373;0;0.019607843;0;0;0.098039216;0.019607843;0.019607843;0.019607843;0;0;0;0;0;0.019607843;0;0.078431373;0;0;0;0;0.039215686;0;0;0;0;0.058823529;0.019607843;0.058823529;0.039215686;0;0.019607843;0;0;0.078431373;0.039215686;0;0;0;0;0;0;0;0.098039216;0.019607843;0.039215686;0;0;0;0;0;0;0;0;0;0.098039216;0;0.039215686
17;0;0;0.021276596;0;0;0;0;0;0.021276596;0;0;0.021276596;0;0.042553191;0.021276596;0;0.042553191;0;0;0.085106383;0.021276596;0;0.042553191;0;0;0;0;0;0;0;0.063829787;0;0;0;0;0;0;0;0;0.042553191;0.021276596;0.021276596;0.106382979;0;0;0;0;0.021276596;0.042553191;0;0;0.021276596;0.063829787;0;0;0;0;0;0;0.063829787;0.042553191;0;0.021276596;0;0;0;0;0;0;0.085106383;0.021276596;0.042553191
22;0;0;0;0;0;0;0;0;0;0;0;0.051282051;0;0.051282051;0.025641026;0;0;0;0;0.025641026;0;0;0.051282051;0;0;0;0;0;0;0;0.025641026;0;0;0;0;0;0;0;0;0.102564103;0.051282051;0.051282051;0;0.025641026;0;0;0;0;0.051282051;0;0.051282051;0.051282051;0.051282051;0;0;0.025641026;0;0.076923077;0;0;0;0;0;0;0;0;0.051282051;0.051282051;0;0.128205128;0;0
25;0.1;0;0.02;0;0;0;0.02;0;0;0;0;0;0;0.02;0;0;0.04;0;0;0;0;0;0.02;0.02;0;0;0;0;0.02;0;0.04;0.02;0;0;0;0;0.02;0;0.1;0;0.1;0;0.06;0;0;0;0.02;0;0.02;0;0;0.02;0.04;0;0;0.08;0;0;0;0.02;0.06;0;0;0.02;0;0;0;0;0;0.1;0;0.02
27;0.086206897;0;0;0;0.017241379;0;0;0;0;0;0;0;0;0.034482759;0;0;0;0;0;0.017241379;0;0.017241379;0.034482759;0;0;0;0;0;0;0;0.086206897;0;0;0;0.034482759;0;0;0;0.051724138;0;0.051724138;0;0;0;0;0.034482759;0.017241379;0;0.068965517;0.017241379;0.034482759;0;0.051724138;0;0.034482759;0.051724138;0.017241379;0.051724138;0;0.051724138;0.034482759;0;0;0;0;0;0;0.017241379;0;0.086206897;0;0
28;0;0;0.022222222;0;0;0;0;0.022222222;0;0.022222222;0.022222222;0;0;0;0;0;0.022222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0.088888889;0;0;0.022222222;0;0.044444444;0;0;0;0.044444444;0.066666667;0.022222222;0.044444444;0.022222222;0;0;0.022222222;0;0.066666667;0.044444444;0;0.066666667;0.088888889;0;0;0.022222222;0;0;0;0.066666667;0.044444444;0;0;0;0;0;0;0;0;0.088888889;0.022222222;0
29;0.016949153;0;0;0;0;0;0;0;0.016949153;0;0;0;0;0.016949153;0.06779661;0;0.033898305;0;0;0.06779661;0;0;0.016949153;0;0;0;0.050847458;0;0;0.016949153;0.050847458;0;0;0;0;0.016949153;0;0;0.016949153;0.033898305;0.033898305;0;0.084745763;0;0;0;0;0;0.084745763;0;0.050847458;0;0.016949153;0;0;0.084745763;0;0.016949153;0;0;0.033898305;0;0.050847458;0;0;0;0;0.016949153;0;0.084745763;0;0.016949153
30;0;0;0;0.020833333;0;0;0;0.020833333;0;0;0;0;0.020833333;0.104166667;0.020833333;0;0;0;0;0.020833333;0;0;0;0;0;0;0.083333333;0;0.020833333;0;0;0;0;0;0;0;0.020833333;0.020833333;0;0.041666667;0.041666667;0;0.020833333;0.0625;0;0;0;0;0.104166667;0;0;0.020833333;0.041666667;0;0.020833333;0.020833333;0;0;0;0.020833333;0;0;0.020833333;0;0;0;0.104166667;0.020833333;0;0.104166667;0;0
31;0.086206897;0;0;0;0;0;0;0;0;0.017241379;0;0;0;0.017241379;0;0;0;0.017241379;0;0;0;0;0.017241379;0;0;0;0.086206897;0;0;0;0.051724138;0;0;0;0;0;0;0;0.086206897;0;0.068965517;0.017241379;0.051724138;0.086206897;0;0;0;0;0.051724138;0.034482759;0;0;0.034482759;0;0;0.068965517;0;0.034482759;0;0;0;0;0;0;0;0;0.017241379;0.068965517;0;0.068965517;0.017241379;0
32;0.084745763;0;0.016949153;0.016949153;0;0;0.016949153;0;0;0.033898305;0;0;0;0;0;0;0.016949153;0;0.016949153;0;0;0.016949153;0.016949153;0;0;0.084745763;0;0;0;0;0.084745763;0;0;0;0;0;0.016949153;0;0.06779661;0.016949153;0.050847458;0;0.033898305;0;0;0;0.033898305;0;0.033898305;0;0;0;0.084745763;0;0;0.06779661;0;0.016949153;0;0.016949153;0;0;0;0;0;0;0;0.016949153;0;0.06779661;0.050847458;0.016949153
33;0.083333333;0.016666667;0;0.016666667;0;0;0;0;0;0.016666667;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0.016666667;0;0;0;0.016666667;0;0;0;0.083333333;0;0;0;0;0;0;0;0.05;0.05;0.05;0.033333333;0.033333333;0;0;0;0.05;0;0.05;0.016666667;0;0;0.083333333;0;0;0.066666667;0;0.033333333;0;0;0;0;0.033333333;0;0;0;0.033333333;0;0.033333333;0.066666667;0.016666667;0.033333333
34;0;0;0.025;0;0;0;0;0;0;0;0;0;0;0;0.05;0.025;0.025;0;0;0;0;0;0.075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0.025;0.025;0;0.05;0;0;0.05;0.1;0;0;0;0;0;0;0.075;0.025;0;0.075;0;0;0;0;0.05;0;0.125;0;0
41;0.106382979;0;0;0;0;0;0.021276596;0;0;0;0;0;0;0;0.021276596;0;0;0;0;0.085106383;0.021276596;0;0.021276596;0;0;0;0.085106383;0;0;0;0.085106383;0;0;0;0;0;0;0;0.042553191;0.021276596;0.021276596;0.063829787;0.021276596;0;0;0;0.063829787;0;0.021276596;0.021276596;0;0;0;0;0;0.021276596;0;0.021276596;0;0.021276596;0;0;0.021276596;0.021276596;0;0;0;0.042553191;0.021276596;0.085106383;0;0.021276596
44;0;0;0;0;0;0;0;0;0;0;0;0.087719298;0;0.052631579;0;0;0;0;0;0.087719298;0;0;0.01754386;0;0;0;0.087719298;0;0;0;0.087719298;0;0;0;0;0;0;0;0;0.052631579;0.035087719;0;0;0.035087719;0;0;0;0;0.087719298;0;0;0;0.052631579;0;0;0.01754386;0;0.087719298;0;0;0;0;0.01754386;0;0;0;0.070175439;0;0;0.087719298;0.01754386;0.01754386
45;0;0;0;0;0;0;0;0;0;0.024390244;0;0;0;0.024390244;0.048780488;0;0;0;0;0;0;0;0.024390244;0;0;0;0;0;0;0;0;0.024390244;0.024390244;0;0;0;0;0;0;0.024390244;0.073170732;0;0.097560976;0;0;0;0.024390244;0.048780488;0.12195122;0;0;0.024390244;0.073170732;0;0;0;0;0.024390244;0;0;0;0;0;0;0;0;0.097560976;0.097560976;0;0.12195122;0;0
46;0.070422535;0;0;0;0;0;0;0;0;0;0;0;0;0.042253521;0;0;0;0;0;0.056338028;0;0;0;0;0;0;0.070422535;0;0;0;0.056338028;0;0;0;0;0;0;0.014084507;0;0.070422535;0.042253521;0.042253521;0.014084507;0.042253521;0.014084507;0.014084507;0.014084507;0.014084507;0.056338028;0;0.042253521;0.014084507;0.056338028;0;0.028169014;0.070422535;0;0;0;0;0;0;0.014084507;0;0;0.014084507;0.014084507;0.056338028;0.014084507;0.042253521;0;0
48;0.025641026;0;0;0;0;0;0;0;0;0;0;0.025641026;0;0.076923077;0;0;0;0;0;0;0;0;0.025641026;0;0;0;0.025641026;0;0;0;0;0;0;0;0;0;0;0.051282051;0;0.051282051;0.025641026;0;0.051282051;0.051282051;0;0;0.025641026;0.025641026;0.102564103;0;0;0;0.025641026;0;0;0.076923077;0;0.076923077;0;0;0.025641026;0;0.025641026;0;0;0;0.025641026;0;0;0.102564103;0.051282051;0.025641026
49;0.106382979;0;0;0;0;0;0;0;0;0;0;0;0;0.042553191;0;0;0;0.021276596;0;0;0;0.021276596;0;0;0.021276596;0;0.021276596;0;0;0;0.085106383;0;0;0;0;0;0.021276596;0.021276596;0.042553191;0;0.021276596;0;0.106382979;0;0.021276596;0;0;0;0.085106383;0.021276596;0;0;0.042553191;0;0;0.085106383;0;0.063829787;0;0;0;0;0;0.021276596;0;0;0;0;0;0.106382979;0.021276596;0
50;0.05;0;0;0;0;0;0;0;0;0;0;0.075;0.025;0;0.075;0;0.025;0.025;0;0.025;0;0;0;0;0;0;0.025;0;0.025;0;0.025;0;0;0;0;0.05;0;0;0.025;0;0.025;0;0.1;0.05;0;0;0;0;0.1;0;0.025;0;0.025;0.025;0;0.05;0;0;0;0.025;0;0.025;0.025;0;0;0;0;0;0;0.075;0;0
51;0.090909091;0;0;0;0;0;0;0.018181818;0;0;0;0.036363636;0;0.018181818;0;0;0;0;0;0.054545455;0;0;0;0;0;0;0.072727273;0;0.018181818;0;0.090909091;0;0;0.018181818;0;0;0;0;0.090909091;0.036363636;0;0.054545455;0.018181818;0.054545455;0;0;0.036363636;0;0.018181818;0;0;0;0;0;0;0.090909091;0;0.036363636;0;0;0;0;0;0.018181818;0;0;0;0.072727273;0;0.054545455;0;0
52;0.089285714;0;0;0;0;0;0;0;0;0.035714286;0;0;0;0;0;0;0;0.017857143;0.017857143;0.053571429;0;0;0.035714286;0;0;0;0;0;0;0;0.089285714;0;0;0;0;0;0;0;0.089285714;0.017857143;0.035714286;0.035714286;0.035714286;0.035714286;0;0;0.089285714;0;0.017857143;0;0;0;0.017857143;0.017857143;0;0.053571429;0;0;0;0.017857143;0.017857143;0;0.017857143;0;0;0;0;0.053571429;0.071428571;0.035714286;0;0
53;0.1;0;0;0;0;0;0;0;0;0.025;0;0;0;0.025;0;0;0;0;0.05;0.025;0;0;0.05;0;0;0;0;0;0;0;0.05;0;0;0;0;0.05;0;0;0.05;0.025;0.075;0;0.1;0;0;0;0;0;0.075;0;0.025;0;0;0;0;0;0;0;0;0.025;0.05;0;0.025;0;0;0;0;0.025;0;0.125;0;0.025
55;0;0;0;0;0;0;0;0;0;0.020833333;0;0.104166667;0;0.041666667;0;0;0;0;0;0.0625;0;0;0.020833333;0;0;0;0.083333333;0;0;0;0.104166667;0;0;0;0;0;0;0;0;0.0625;0.020833333;0;0;0.020833333;0;0;0;0;0.083333333;0;0.020833333;0;0.041666667;0;0;0.020833333;0;0.083333333;0;0.020833333;0;0;0;0;0;0;0.0625;0;0;0.104166667;0;0.020833333
56;0;0;0.015873016;0;0;0.015873016;0;0.015873016;0;0.015873016;0;0.015873016;0;0.063492063;0;0;0;0;0;0;0;0.015873016;0.031746032;0;0;0;0.079365079;0;0;0;0.031746032;0;0;0;0;0;0;0;0;0.047619048;0.031746032;0.015873016;0.063492063;0;0;0;0;0.031746032;0.047619048;0;0.015873016;0.015873016;0.063492063;0;0;0.063492063;0;0.063492063;0;0.031746032;0;0;0.015873016;0.015873016;0.047619048;0;0;0.047619048;0;0.079365079;0;0
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0.095238095;0.023809524;0;0;0;0;0.047619048;0;0.023809524;0;0;0;0;0.095238095;0;0;0;0.023809524;0;0;0;0;0.023809524;0;0;0.023809524;0.071428571;0.071428571;0.047619048;0;0.023809524;0;0;0.023809524;0;0.023809524;0;0;0;0;0;0;0.119047619;0;0.047619048;0;0;0;0;0.047619048;0;0;0;0;0;0;0.095238095;0;0.071428571
