ID;abies_balsa;acer_nigru;acer_pensy;acer_rubru;acer_sacch;acer_spica;actae_pachy;actae_rubra;adian_pedat;agera_altis;agrim_grypo;agrim_stria;agros_gigan;agros_scabr;alism_trivi;alnus_rugos;amela_sp;amphi_bract;anaph_margar;arali_nudic;arali_racem;arcti_minus;arethu_bulbo;arisa_triph;aroni_melan;ascle_incar;ascle_syria;athyr_filix;barba_vulga;betul_alleg;betul_papyr;betul_popul;biden_cernu;biden_frond;biden_tripa;boehm_cylin;brach_erect;brase_schre;bromu_cilia;calam_canad;calla_palus;calli_palus;calop_tuber;carda_diphy;carda_pensy;carex_arcta;carex_bland;carex_bromo;carex_brunn;carex_canes;carex_comos;carex_crawf;carex_crini;carex_dewey;carex_diand;carex_dispe;carex_echin;carex_flava;carex_folli;carex_graci;carex_hyste;carex_inter;carex_intum;carex_lacus;carex_lasio;carex_lepta;carex_lupul;carex_lurid;carex_pedun;carex_plant;carex_prasi;carex_proje;carex_pseud;carex_retro;carex_rostr;carex_scabr;carex_scopa;carex_stipa;carex_stric;carex_tribu;carex_trisp;carex_tucke;carex_vesic;caulo_thali;cephas_occid;chama_calyc;chelo_glabr;chrys_ameri;cinna_latif;circa_alpin;circae_canad;cirsi_mutic;cirsi_vulga;cladi_maris;clema_virgi;clint_borea;comar_palus;copti_trifo;cornu_alter;cornu_canad;cornu_seric;coryl_cornu;cysto_bulbi;decod_verti;dendr_obscu;depar_acros;doell_umbel;drose_inter;drose_rotun;dryop_carth;dryops_clint;dryop_crist;dryop_goldi;dryop_inter;dryop_margi;dulic_arund;eleoc_acicu;eleoc_ellip;eleoc_obtus;eleoc_palus;eleoc_robbi;elymu_virgi;epilo_cilia;epilo_color;epilo_lepto;epilo_palus;epipa_helleb;equis_arven;equis_fluvi;equis_hyema;equis_scirp;equis_sylva;erige_phila;erioc_aquat;eriop_graci;eriop_tenel;eriop_vagin;eriop_virgi;eryth_ameri;eupat_perfo;euryb_macro;eutha_grami;eutro_macul;fagus_grand;fallo_cilin;fraga_virgi;fraxi_ameri;fraxi_nigra;galeo_bifid;galiu_aspre;galiu_palus;galiu_trifi;galiu_trifl;gault_hispi;gaylu_bacca;geran_robert;geum_canad;geum_lacin;geum_macro;glyce_canad;glyce_grand;glyce_melic;glyce_stria;gymno_dryop;hepat_acuti;huper_lucid;hydro_morsu;hydro_ameri;hyper_ellip;hyper_frase;ilex_mucro;ilex_verti;impat_capen;iris_versi;juncu_brach;juncu_brevi;juncs_canad;juncs_effus;juncu_peloc;kalmi_angus;kalmi_polif;lactu_bienn;lapor_canad;larix_laric;leers_oryzo;lemna_minor;linna_borea;lipar_loese;lonic_canad;ludwi_palus;lycop_clava;lycop_ameri;lycop_unifl;lysim_borea;lysim_terre;lysim_thyrs;maian_canad;maian_racem;malax_unifo;malus_pumil;matte_strut;medeo_virgi;menth_canad;menya_trifo;miliu_effus;mimul_ringe;mitch_repen;mitel_diphy;mitel_nuda;monot_unifl;muhle_mexic;myoso_scorp;myoso_sylva;myric_gale;nabal_altis;nupha_varie;nymph_odora;oclem_acumi;oclem_nemor;onocl_sensi;osmor_clayt;osmun_regal;osmun_cinna;ostry_virgi;oxali_monta;oxals_strict;parth_vitac;persi_amphi;persi_hydro;persi_sagit;phala_arund;phego_conne;picea_glauc;pilea_pumil;pilos_auran;pinus_strob;plant_major;platant_clave;poa_alsod;poa_palus;poa_prate;pogon_ophio;polyg_pubes;polys_acros;ponte_corda;popul_tremu;potam_natan;poten_norve;prune_vulga;prunu_virgi;pteri_aquil;pyrol_ellip;querc_rubra;ranun_abort;ranun_acris;ranun_recur;rhamn_alnif;rhodo_groen;rhync_alba;ribes_cynos;ribes_gland;ribes_lacus;ribes_trist;rosa_acicu;rosa_palus;rubus_alleg;rubus_idaeu;rubus_odora;rubus_pubes;rubus_repen;rumex_brita;sagit_cunea;sagit_latif;salix_bebbi;salix_disco;salix_lucid;salix_pedic;salix_pelli;salix_petio;sambu_canad;sanic_trifo;sarra_purpu;scirpu_atroc;scirpu_atrov;scirpu_cyper;scirpu_micro;scirpu_pedic;scute_galer;scute_later;sium_suave;solan_dulca;solid_canad;solid_flexi;solid_rugos;sparg_ameri;sparg_natan;spira_latif;spirae_tomen;spiro_polyr;stell_borea;strep_lance;symph_cordi;symph_lance;symph_punic;tarax_offic;thali_pubes;thely_noveb;thely_palus;thuja_occid;tiare_cordi;tilia_ameri;toxic_radic;trill_erect;trill_grand;tsuga_canad;tussi_farfa;typha_latif;ulmus_ameri;urtic_dioic;utric_cornu;utric_inter;utric_vulga;uvula_grand;uvula_sessi;vacci_angus;vacci_corym;vacci_macro;vacci_myrti;vacci_oxyco;veron_ameri;veron_scute;vibur_cassi;vibur_lanta;viola_canad;viola_sp
2;0.003236246;0;0.006472492;0.006472492;0.025889968;0.025889968;0;0;0;0.009708738;0;0;0.003236246;0;0;0.006472492;0;0;0;0.009708738;0;0;0;0.022653722;0;0;0;0.022653722;0;0.012944984;0;0;0;0;0.006472492;0;0;0;0;0;0.006472492;0;0;0.003236246;0.006472492;0;0.003236246;0;0.003236246;0.003236246;0;0;0.006472492;0;0;0.006472492;0.003236246;0;0;0.003236246;0;0;0.006472492;0;0;0.003236246;0.003236246;0.003236246;0;0;0;0.003236246;0;0;0;0;0;0.006472492;0;0;0;0;0;0;0;0.006472492;0.003236246;0.006472492;0.006472492;0.006472492;0;0;0;0;0;0.006472492;0;0.003236246;0.003236246;0.009708738;0.003236246;0;0;0;0;0;0;0;0;0.012944984;0;0;0;0;0.003236246;0;0.003236246;0;0;0;0;0;0.003236246;0.012944984;0;0;0.003236246;0;0;0;0;0;0.009708738;0;0;0;0.074433657;0;0;0;0;0;0;0.003236246;0;0.003236246;0;0.051779935;0;0;0.006472492;0;0.019417476;0;0;0;0;0;0;0;0;0.003236246;0.009708738;0.029126214;0;0.009708738;0;0;0.006472492;0.006472492;0.038834951;0;0.003236246;0.003236246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006472492;0;0;0;0.006472492;0.012944984;0.003236246;0.003236246;0.012944984;0;0;0;0.006472492;0;0;0;0;0;0;0.01618123;0;0;0;0;0;0.006472492;0.003236246;0;0;0.003236246;0;0.03236246;0;0;0.003236246;0.003236246;0.029126214;0;0.006472492;0;0;0;0;0.029126214;0;0.006472492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003236246;0;0.009708738;0;0.003236246;0;0;0;0;0.003236246;0;0.003236246;0;0;0;0;0;0.064724919;0;0.006472492;0;0;0;0;0;0;0;0;0.003236246;0;0;0;0;0;0;0;0.003236246;0.003236246;0.003236246;0;0;0;0;0;0;0;0;0;0;0.003236246;0.003236246;0;0;0;0.006472492;0;0;0.006472492;0.048543689;0.006472492;0;0;0;0.003236246;0.003236246;0;0.006472492;0;0;0;0;0;0;0;0;0;0;0;0;0.003236246;0.006472492;0;0;0
3;0;0;0;0.022988506;0;0;0;0;0;0;0;0;0;0.003831418;0;0.007662835;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007662835;0;0.003831418;0;0;0.003831418;0;0;0.007662835;0;0;0.011494253;0;0;0;0;0;0;0;0;0.026819923;0.003831418;0;0.011494253;0;0;0;0.01532567;0;0;0;0.003831418;0;0.003831418;0;0.003831418;0;0;0;0;0;0;0;0.003831418;0;0;0;0.007662835;0;0;0.003831418;0;0;0;0;0;0.061302682;0;0;0;0;0;0;0.007662835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.049808429;0;0;0;0.003831418;0.003831418;0;0.072796935;0.007662835;0;0;0;0;0;0;0.003831418;0.003831418;0;0;0;0;0;0.003831418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003831418;0;0;0;0;0.003831418;0.045977011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003831418;0.034482759;0.011494253;0;0.007662835;0.003831418;0.003831418;0.003831418;0;0.01532567;0;0.019157088;0.011494253;0;0;0.026819923;0;0;0;0;0;0;0;0;0.057471264;0.007662835;0.045977011;0.026819923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01532567;0;0;0.022988506;0.003831418;0.003831418;0.003831418;0;0;0.026819923;0;0;0;0;0;0;0;0;0;0;0;0.003831418;0;0;0.003831418;0;0;0;0.003831418;0;0;0.026819923;0;0;0.003831418;0;0;0;0;0;0;0;0;0;0.01532567;0.007662835;0;0;0;0;0;0.003831418;0;0;0;0.003831418;0;0.007662835;0.019157088;0.003831418;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003831418;0.030651341;0;0.011494253;0;0;0;0;0.022988506;0;0;0;0;0;0;0;0;0;0;0;0;0.019157088;0.003831418;0;0;0;0;0;0;0;0;0;0;0;0.003831418;0.007662835;0;0;0;0;0;0;0;0;0;0;0.003831418;0.007662835;0
5;0.038022814;0;0.011406844;0;0.015209125;0;0;0;0;0;0.003802281;0;0.003802281;0;0;0.007604563;0;0;0;0.007604563;0;0;0;0.030418251;0;0;0;0.019011407;0;0.030418251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007604563;0;0;0.003802281;0;0.003802281;0;0;0.015209125;0;0;0;0;0;0;0.019011407;0;0;0.003802281;0;0;0.007604563;0;0;0;0;0;0.003802281;0;0;0;0.022813688;0;0.011406844;0;0.007604563;0;0;0;0.003802281;0;0;0.003802281;0.02661597;0.003802281;0.007604563;0.003802281;0;0;0;0;0;0;0;0.003802281;0;0;0;0;0;0;0;0;0;0;0.003802281;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011406844;0;0;0;0;0;0;0;0;0.003802281;0;0;0.003802281;0.049429658;0;0.003802281;0;0.003802281;0;0;0.007604563;0;0;0;0.030418251;0;0.003802281;0.049429658;0.030418251;0;0;0;0;0;0;0;0;0;0.045627376;0;0;0;0;0;0.019011407;0;0.003802281;0.053231939;0;0.003802281;0;0;0;0;0;0;0;0;0.003802281;0;0;0;0;0;0;0.003802281;0;0;0.003802281;0.007604563;0.007604563;0.003802281;0.003802281;0;0;0;0;0;0;0.003802281;0;0;0;0;0;0;0;0;0;0;0.003802281;0.003802281;0;0;0.007604563;0;0.030418251;0;0.003802281;0.011406844;0;0;0;0;0;0;0;0;0.011406844;0;0;0;0;0;0;0.003802281;0.015209125;0;0;0;0.003802281;0;0;0;0;0.007604563;0;0.007604563;0.003802281;0;0;0;0.019011407;0;0;0;0;0;0;0;0;0;0;0.007604563;0;0.019011407;0;0.007604563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007604563;0.034220532;0;0;0;0;0.015209125;0;0;0;0;0;0;0;0;0;0.011406844;0.003802281;0.011406844;0;0;0.007604563;0.019011407;0;0;0.003802281;0;0.003802281;0;0;0.007604563;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007604563;0.003802281;0.003802281;0
6;0;0;0;0.009411765;0;0;0;0;0;0;0;0;0.004705882;0;0;0.049411765;0;0;0;0;0;0;0;0;0.004705882;0.002352941;0;0;0;0;0;0;0;0.002352941;0.004705882;0;0;0;0;0.002352941;0.04;0;0;0;0;0;0;0.016470588;0.002352941;0.016470588;0;0;0.009411765;0;0;0.018823529;0.030588235;0;0;0;0;0;0.002352941;0;0.002352941;0.011764706;0;0.002352941;0;0;0;0;0.011764706;0;0;0;0;0;0;0;0.016470588;0;0;0;0;0.061176471;0;0;0;0;0;0;0;0;0;0;0.025882353;0.002352941;0;0;0.007058824;0;0;0;0;0;0;0;0.025882353;0.002352941;0;0;0;0;0;0.007058824;0.002352941;0.002352941;0;0;0;0;0;0;0.004705882;0;0;0;0;0;0.002352941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004705882;0;0;0.007058824;0.021176471;0;0.002352941;0;0;0;0;0;0;0;0;0.011764706;0;0;0;0.004705882;0;0.002352941;0.042352941;0;0;0.032941176;0.004705882;0;0;0;0;0.004705882;0;0;0;0;0;0.014117647;0.004705882;0.002352941;0;0;0;0;0;0.049411765;0.011764706;0.016470588;0.025882353;0.007058824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.058823529;0;0;0.004705882;0;0;0.016470588;0;0.025882353;0.004705882;0;0;0;0;0;0;0;0;0;0.002352941;0;0;0;0;0.002352941;0;0;0;0.007058824;0;0;0.002352941;0;0.004705882;0;0;0;0;0;0;0;0;0;0;0;0.002352941;0;0;0;0;0.002352941;0;0;0;0;0.030588235;0;0.002352941;0;0.002352941;0;0;0;0;0;0;0;0;0.004705882;0;0;0;0;0;0.002352941;0;0.004705882;0;0;0;0;0.004705882;0;0.007058824;0.009411765;0;0;0;0;0;0;0;0.002352941;0;0.028235294;0.04;0;0;0;0;0;0.002352941;0;0;0;0;0;0.002352941;0;0;0;0.009411765;0;0;0.002352941;0;0;0.011764706;0;0;0.023529412;0
8;0;0;0;0.006849315;0;0;0;0;0;0;0;0;0.003424658;0;0;0.020547945;0;0;0;0;0;0;0.003424658;0;0.003424658;0;0;0;0;0.003424658;0;0;0;0;0;0;0;0.003424658;0;0;0.01369863;0;0;0;0;0;0;0;0;0.003424658;0;0;0.003424658;0;0;0.003424658;0.010273973;0;0;0;0;0;0;0;0.075342466;0;0;0;0;0;0;0;0.003424658;0;0.003424658;0;0;0;0.003424658;0;0;0;0;0;0;0.099315068;0;0;0;0;0;0;0;0;0;0;0.047945205;0;0;0;0;0;0;0;0;0;0;0.006849315;0.078767123;0;0;0;0;0;0;0.01369863;0;0;0;0;0.003424658;0;0;0;0;0;0;0;0;0;0.003424658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003424658;0;0;0;0;0;0;0;0.003424658;0;0;0;0;0;0;0.003424658;0;0.003424658;0.078767123;0;0.003424658;0.020547945;0.006849315;0;0.003424658;0.003424658;0;0;0.003424658;0;0;0;0.006849315;0;0;0;0;0;0;0.003424658;0;0.037671233;0;0.006849315;0.017123288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.092465753;0;0.003424658;0.017123288;0;0.010273973;0;0;0.006849315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.034246575;0;0;0.003424658;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010273973;0;0;0;0;0.006849315;0;0;0.003424658;0;0.006849315;0;0;0.003424658;0.003424658;0;0.006849315;0.003424658;0;0;0;0;0;0.017123288;0;0;0;0;0;0.003424658;0;0.003424658;0;0;0;0;0.003424658;0;0.006849315;0.003424658;0;0;0;0;0;0;0;0;0;0.034246575;0.034246575;0;0;0;0;0;0;0;0.023972603;0;0;0;0.01369863;0;0;0;0.003424658;0;0.006849315;0.006849315;0;0;0;0;0.003424658;0;0
10;0;0;0;0.00477327;0;0;0;0;0;0;0;0;0.009546539;0;0;0.026252983;0;0;0;0;0;0;0;0;0;0.007159905;0;0;0;0;0;0;0;0;0.00477327;0;0;0.002386635;0;0;0.028639618;0;0;0;0;0;0;0;0.002386635;0.019093079;0.00477327;0;0.007159905;0;0;0.002386635;0.038186158;0;0;0;0;0;0.00477327;0;0.002386635;0.023866348;0;0.002386635;0;0;0;0;0.007159905;0;0;0;0;0.00477327;0;0;0;0;0.002386635;0;0;0.059665871;0.002386635;0;0;0;0;0;0;0;0;0;0.040572792;0;0;0;0.002386635;0;0;0;0;0;0;0;0.016706444;0;0;0;0;0.002386635;0;0.040572792;0;0;0;0;0;0;0;0;0.002386635;0;0;0.002386635;0;0;0;0;0;0.002386635;0;0;0.002386635;0;0;0;0;0;0;0;0;0;0;0.002386635;0;0;0.016706444;0.028639618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00477327;0;0.007159905;0.057279236;0;0;0.023866348;0.002386635;0;0;0.00477327;0.007159905;0;0;0;0;0;0;0.007159905;0;0;0.002386635;0;0;0;0;0.042959427;0.002386635;0.033412888;0.014319809;0.002386635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059665871;0;0;0.00477327;0;0.00477327;0.016706444;0;0.009546539;0.00477327;0;0;0;0.002386635;0;0;0;0;0;0.00477327;0;0;0;0;0;0;0;0;0.00477327;0;0;0.00477327;0;0.00477327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002386635;0.011933174;0.00477327;0;0;0.028639618;0;0.002386635;0.007159905;0.007159905;0;0.002386635;0;0;0;0;0;0;0.002386635;0;0;0;0;0.002386635;0.00477327;0;0.011933174;0.002386635;0;0;0;0.007159905;0;0.011933174;0.007159905;0;0;0;0;0.002386635;0;0;0.00477327;0;0.026252983;0.047732697;0;0;0;0;0;0;0;0.00477327;0.00477327;0;0;0;0;0;0;0;0;0.002386635;0;0;0;0.014319809;0;0.002386635;0.011933174;0
12;0;0.003246753;0;0.00974026;0;0;0;0;0;0;0;0;0.003246753;0;0;0.077922078;0;0;0;0;0;0;0;0;0;0.003246753;0;0;0;0.006493506;0;0;0;0;0;0.003246753;0;0.006493506;0;0.006493506;0.016233766;0;0;0;0;0;0;0;0;0.00974026;0;0.006493506;0.006493506;0;0;0;0.003246753;0;0;0;0.003246753;0.003246753;0;0.025974026;0;0;0;0.006493506;0;0;0;0.003246753;0.003246753;0;0.003246753;0.003246753;0;0.016233766;0.019480519;0.006493506;0;0;0.006493506;0;0;0.003246753;0.003246753;0;0;0;0;0;0;0;0.012987013;0;0;0;0;0;0;0;0;0;0;0;0.003246753;0;0;0.006493506;0;0;0;0.003246753;0;0.006493506;0;0;0;0.003246753;0;0;0;0;0.003246753;0;0;0;0;0;0;0;0;0;0;0;0.006493506;0;0;0.00974026;0;0;0.003246753;0;0;0.003246753;0;0.006493506;0;0.019480519;0.00974026;0.019480519;0.003246753;0;0;0;0;0;0;0.006493506;0.006493506;0;0;0;0;0;0.003246753;0.016233766;0.006493506;0.051948052;0.038961039;0;0;0.003246753;0.003246753;0;0.003246753;0.00974026;0;0;0;0;0;0.006493506;0.003246753;0;0;0;0;0;0;0.006493506;0.051948052;0;0.045454545;0.003246753;0;0;0;0;0;0;0.00974026;0;0;0.003246753;0;0;0;0;0;0;0;0.006493506;0;0.003246753;0.003246753;0;0;0.035714286;0;0;0.006493506;0;0;0;0.006493506;0;0;0.048701299;0;0;0;0.00974026;0;0;0;0;0;0.003246753;0;0;0;0;0.012987013;0;0.006493506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00974026;0;0.006493506;0;0.00974026;0.003246753;0.003246753;0;0;0;0;0;0.003246753;0.00974026;0;0;0.006493506;0.003246753;0.003246753;0.003246753;0;0.006493506;0.006493506;0.016233766;0;0.003246753;0;0.00974026;0.00974026;0;0.019480519;0.006493506;0;0;0;0;0;0.006493506;0;0.012987013;0;0;0;0;0;0;0;0;0;0;0.019480519;0.003246753;0;0;0.003246753;0;0;0;0;0;0;0;0;0;0;0;0;0.003246753;0
